anime_id,name,rank,genre_Drama,genre_Romance,genre_School,genre_Supernatural,genre_Action,genre_Adventure,genre_Fantasy,genre_Magic,genre_Military,genre_Shounen,genre_Comedy,genre_Historical,genre_Parody,genre_Samurai,genre_Sci-Fi,genre_Thriller,genre_Sports,genre_Super Power,genre_Space,genre_Slice of Life,genre_Mecha,genre_Music,genre_Mystery,genre_Seinen,genre_Martial Arts,genre_Vampire,genre_Shoujo,genre_Horror,genre_Police,genre_Psychological,genre_Demons,genre_Ecchi,genre_Josei,genre_Shounen Ai,genre_Game,genre_Dementia,genre_Harem,genre_Cars,genre_Kids,genre_Shoujo Ai,genre_Hentai,genre_Yaoi,genre_Yuri,type_Movie,type_Music,type_ONA,type_OVA,type_Special,type_TV,rank_encoded,rating_scaled,members_scaled,episodes_scaled
32281,Kimi no Na wa.,Popular,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,5,2.204724409448819,21.61094224924012,-0.09090909090909091
5114,Fullmetal Alchemist: Brotherhood,Masterpiece,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,2,2.1181102362204727,85.98729917498915,5.636363636363637
28977,Gintama°,Mid-tier,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,3,2.1102362204724416,12.235345201910551,4.454545454545454
9253,Steins;Gate,Masterpiece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,2,2.0472440944881893,72.95071645679549,2.0
9969,Gintama&#039;,Mid-tier,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,3,2.039370078740158,16.252279635258358,4.454545454545454
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,Mid-tier,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,3,2.031496062992127,9.965371254884932,0.7272727272727273
11061,Hunter x Hunter (2011),Masterpiece,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,2,2.015748031496064,46.06003039513678,13.272727272727273
820,Ginga Eiyuu Densetsu,Mid-tier,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,True,False,False,3,2.0,8.589774207555363,9.818181818181818
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,Mid-tier,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,3,1.9921259842519687,7.705601389491967,-0.09090909090909091
15417,Gintama&#039;: Enchousen,Mid-tier,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,True,3,2.0,8.636452453321754,1.0
